sample_id,ch00_imu1_pitch_mean,ch00_imu1_pitch_std,ch00_imu1_pitch_min,ch00_imu1_pitch_max,ch00_imu1_pitch_range,ch00_imu1_pitch_rms,ch01_imu1_yaw_mean,ch01_imu1_yaw_std,ch01_imu1_yaw_min,ch01_imu1_yaw_max,ch01_imu1_yaw_range,ch01_imu1_yaw_rms,ch02_imu1_roll_mean,ch02_imu1_roll_std,ch02_imu1_roll_min,ch02_imu1_roll_max,ch02_imu1_roll_range,ch02_imu1_roll_rms,ch03_imu2_pitch_mean,ch03_imu2_pitch_std,ch03_imu2_pitch_min,ch03_imu2_pitch_max,ch03_imu2_pitch_range,ch03_imu2_pitch_rms,ch04_imu2_yaw_mean,ch04_imu2_yaw_std,ch04_imu2_yaw_min,ch04_imu2_yaw_max,ch04_imu2_yaw_range,ch04_imu2_yaw_rms,ch05_imu2_roll_mean,ch05_imu2_roll_std,ch05_imu2_roll_min,ch05_imu2_roll_max,ch05_imu2_roll_range,ch05_imu2_roll_rms,ch06_glove_f1_thumb_mean,ch06_glove_f1_thumb_std,ch06_glove_f1_thumb_min,ch06_glove_f1_thumb_max,ch06_glove_f1_thumb_range,ch06_glove_f1_thumb_rms,ch07_glove_f2_index_mean,ch07_glove_f2_index_std,ch07_glove_f2_index_min,ch07_glove_f2_index_max,ch07_glove_f2_index_range,ch07_glove_f2_index_rms,ch08_glove_f3_middle_mean,ch08_glove_f3_middle_std,ch08_glove_f3_middle_min,ch08_glove_f3_middle_max,ch08_glove_f3_middle_range,ch08_glove_f3_middle_rms,ch09_glove_f4_ring_mean,ch09_glove_f4_ring_std,ch09_glove_f4_ring_min,ch09_glove_f4_ring_max,ch09_glove_f4_ring_range,ch09_glove_f4_ring_rms,ch10_glove_f5_pinky_mean,ch10_glove_f5_pinky_std,ch10_glove_f5_pinky_min,ch10_glove_f5_pinky_max,ch10_glove_f5_pinky_range,ch10_glove_f5_pinky_rms,ch11_glove_s5_pitch_mean,ch11_glove_s5_pitch_std,ch11_glove_s5_pitch_min,ch11_glove_s5_pitch_max,ch11_glove_s5_pitch_range,ch11_glove_s5_pitch_rms,movement_id,movement_name
3180,0.000000,3.549496,-7.158291,5.692709,12.851000,3.549496,0.000000,2.656166,-4.219449,10.603051,14.822500,2.656166,0.000000,4.116653,-12.626788,6.324112,18.950900,4.116653,0.000000,31.531557,-55.274048,26.280952,81.555000,31.531557,-0.000000,8.060586,-17.872922,34.065578,51.938500,8.060586,-0.000000,7.987342,-16.166257,31.479643,47.645900,7.987342,-0.000000,12.235974,-19.320455,16.379545,35.700000,12.235974,0.000000,8.965434,-14.760227,8.939773,23.700000,8.965434,-0.000000,10.054590,-16.673182,8.626818,25.300000,10.054590,0.000000,12.814729,-20.372614,18.427386,38.800000,12.814729,0.000000,11.280327,-18.288977,10.211023,28.500000,11.280327,0.000000,32.624128,-57.418714,53.657176,111.075890,32.624128,11,elbow joint flexion and touch
3181,-0.000000,3.040370,-6.080185,6.770815,12.851000,3.040370,-0.000000,2.751652,-4.207886,10.614614,14.822500,2.751652,-0.000000,3.767669,-11.944418,7.006482,18.950900,3.767669,-0.000000,19.215255,-67.622107,13.932893,81.555000,19.215255,-0.000000,8.707212,-17.436404,34.502096,51.938500,8.707212,0.000000,8.795367,-15.801095,31.844805,47.645900,8.795367,-0.000000,8.687150,-23.473864,12.226136,35.700000,8.687150,-0.000000,6.117650,-18.267045,5.732955,24.000000,6.117650,0.000000,6.736786,-20.514432,4.785568,25.300000,6.736786,0.000000,9.076983,-24.977273,13.822727,38.800000,9.076983,0.000000,7.874043,-22.533068,5.966932,28.500000,7.874043,-0.000000,35.126653,-60.547648,50.528242,111.075890,35.126653,11,elbow joint flexion and touch
3182,0.000000,3.283196,-6.883856,5.967144,12.851000,3.283196,0.000000,1.630090,-3.684235,5.484865,9.169100,1.630090,0.000000,3.236151,-8.184691,5.959509,14.144200,3.236151,0.000000,28.689595,-59.187460,22.304240,81.491700,28.689595,0.000000,7.921864,-17.271894,34.666606,51.938500,7.921864,0.000000,8.141489,-16.093550,31.552350,47.645900,8.141489,0.000000,11.171907,-20.529545,15.170455,35.700000,11.171907,0.000000,8.291341,-15.993182,8.006818,24.000000,8.291341,0.000000,9.237245,-17.986364,7.313636,25.300000,9.237245,0.000000,11.809282,-21.796591,17.003409,38.800000,11.809282,-0.000000,10.463342,-19.881136,8.618864,28.500000,10.463342,-0.000000,32.867445,-56.810950,50.553892,107.364842,32.867445,11,elbow joint flexion and touch
3183,-0.000000,2.985626,-6.709923,6.475078,13.185000,2.985626,-0.000000,1.785295,-4.105193,5.462008,9.567200,1.785295,0.000000,3.140194,-8.282206,7.806694,16.088900,3.140194,-0.000000,21.508944,-65.852224,15.639476,81.491700,21.508944,0.000000,8.538688,-20.113535,35.194365,55.307900,8.538688,0.000000,8.903848,-21.955640,31.861660,53.817300,8.903848,0.000000,9.318448,-22.832955,12.967045,35.800000,9.318448,0.000000,6.663264,-17.905000,6.095000,24.000000,6.663264,0.000000,7.353313,-20.013523,5.286477,25.300000,7.353313,-0.000000,9.716038,-24.200568,14.599432,38.800000,9.716038,-0.000000,8.478768,-22.069318,6.430682,28.500000,8.478768,0.000000,35.021477,-57.559562,50.573044,108.132606,35.021477,11,elbow joint flexion and touch
3184,-0.000000,3.117496,-6.957753,5.719347,12.677100,3.117496,-0.000000,1.613333,-4.303017,5.264183,9.567200,1.613333,0.000000,3.212413,-8.504740,7.584160,16.088900,3.212413,-0.000000,26.183079,-61.329900,19.957900,81.287800,26.183079,0.000000,6.936962,-19.332912,17.897788,37.230700,6.936962,-0.000000,7.671657,-21.278597,16.702903,37.981500,7.671657,-0.000000,10.443823,-21.158295,14.641705,35.800000,10.443823,0.000000,7.791012,-16.775114,7.224886,24.000000,7.791012,-0.000000,8.624347,-18.748636,6.551364,25.300000,8.624347,0.000000,10.976015,-22.438750,16.361250,38.800000,10.976015,-0.000000,9.865547,-20.824318,7.675682,28.500000,9.865547,0.000000,33.771461,-59.004629,49.127977,108.132606,33.771461,11,elbow joint flexion and touch
3185,-0.000000,13.337503,-19.521616,14.247984,33.769600,13.337503,0.000000,4.095300,-15.411027,9.907973,25.319000,4.095300,0.000000,12.482265,-25.194170,37.902030,63.096200,12.482265,-0.000000,31.637330,-34.629559,39.499541,74.129100,31.637330,0.000000,3.564546,-13.720934,12.504966,26.225900,3.564546,-0.000000,3.506856,-6.696231,20.559169,27.255400,3.506856,-0.000000,14.383492,-15.863750,18.536250,34.400000,14.383492,0.000000,10.947040,-12.197727,11.602273,23.800000,10.947040,-0.000000,53.048986,-59.008864,49.391136,108.400000,53.048986,0.000000,18.049381,-19.872273,22.027727,41.900000,18.049381,-0.000000,13.885001,-15.198864,19.301136,34.500000,13.885001,-0.000000,34.287048,-64.644412,71.786579,136.430991,34.287048,11,elbow joint flexion and touch
3186,-0.000000,13.060735,-21.508603,10.886097,32.394700,13.060735,0.000000,3.840148,-15.002920,9.428280,24.431200,3.840148,0.000000,11.509022,-24.232415,38.863785,63.096200,11.509022,0.000000,31.782197,-27.019252,47.109848,74.129100,31.782197,-0.000000,2.970525,-13.786529,6.113271,19.899800,2.970525,0.000000,2.014471,-6.235910,6.617790,12.853700,2.014471,0.000000,14.440486,-12.367045,22.032955,34.400000,14.440486,-0.000000,10.866167,-9.399205,14.400795,23.800000,10.866167,-0.000000,52.615677,-45.439773,62.960227,108.400000,52.615677,-0.000000,17.894379,-15.344432,26.555568,41.900000,17.894379,0.000000,13.789942,-11.762614,22.737386,34.500000,13.789942,-0.000000,29.564482,-64.193911,65.914491,130.108402,29.564482,11,elbow joint flexion and touch
3187,0.000000,13.101565,-18.196251,14.580649,32.776900,13.101565,0.000000,3.980972,-15.287579,9.143621,24.431200,3.980972,0.000000,12.700545,-25.833976,37.262224,63.096200,12.700545,0.000000,31.694361,-36.339575,37.789525,74.129100,31.694361,0.000000,3.317157,-13.209147,6.690653,19.899800,3.317157,-0.000000,2.219689,-6.130120,6.723580,12.853700,2.219689,-0.000000,14.485399,-16.691023,18.608977,35.300000,14.485399,-0.000000,10.898047,-12.717045,11.082955,23.800000,10.898047,-0.000000,52.779799,-61.522727,46.877273,108.400000,52.779799,-0.000000,18.084235,-20.850795,21.049205,41.900000,18.084235,0.000000,13.850246,-15.874545,18.625455,34.500000,13.850246,-0.000000,35.014266,-64.395624,72.035367,136.430991,35.014266,11,elbow joint flexion and touch
3188,0.000000,13.245863,-19.516062,12.878638,32.394700,13.245863,-0.000000,3.934573,-15.207822,9.223378,24.431200,3.934573,0.000000,12.145009,-24.887253,38.208947,63.096200,12.145009,0.000000,32.132502,-31.992183,42.136917,74.129100,32.132502,-0.000000,3.055707,-13.568858,6.330942,19.899800,3.055707,0.000000,2.108033,-6.172104,6.681596,12.853700,2.108033,0.000000,14.694647,-14.705795,20.594205,35.300000,14.694647,-0.000000,11.017932,-11.159091,12.640909,23.800000,11.017932,-0.000000,53.310858,-53.911364,54.488636,108.400000,53.310858,0.000000,18.169996,-18.216136,23.683864,41.900000,18.169996,-0.000000,13.937436,-13.894318,20.605682,34.500000,13.937436,-0.000000,32.735973,-64.389487,66.825869,131.215356,32.735973,11,elbow joint flexion and touch
3189,-0.000000,12.789426,-18.254850,13.597950,31.852800,12.789426,-0.000000,3.844664,-14.916025,9.515175,24.431200,3.844664,0.000000,12.851496,-27.027943,36.068257,63.096200,12.851496,0.000000,32.172223,-35.368485,38.760615,74.129100,32.172223,-0.000000,3.238934,-13.321408,6.578392,19.899800,3.238934,-0.000000,2.273132,-6.189918,6.663782,12.853700,2.273132,0.000000,14.726686,-16.227614,19.072386,35.300000,14.726686,-0.000000,11.004712,-12.294318,11.805682,24.100000,11.004712,-0.000000,52.686687,-57.756136,50.643864,108.400000,52.686687,-0.000000,18.349268,-20.312500,22.587500,42.900000,18.349268,-0.000000,14.040338,-15.466250,19.033750,34.500000,14.040338,-0.000000,34.479130,-64.971868,67.941162,132.913030,34.479130,11,elbow joint flexion and touch
